id date pair_number auditory
196 СР 4 515
197 ПН 2 528
198 ЧТ 5 515
199 СР 5 526
200 ЧТ 4 514
201 ВТ 3 622
202 ПН 2 612
203 ПТ 3 509
204 ПТ 2 514
205 СР 4 623
206 ПН 3 509
207 ПТ 1 601
208 ВТ 1 511
209 ВТ 2 632
210 ПН 2 515
211 ПН 3 632
212 ЧТ 4 612
213 ПН 5 601
214 ПН 1 601
215 СР 3 632
216 ЧТ 3 632
217 ПН 4 602
218 СР 1 632
219 ПН 6 612
220 СР 3 511
221 ПТ 2 612
222 ПН 2 601
223 ВТ 3 513
224 ПТ 1 602
225 СБ 4 513
226 ПТ 3 622а
227 ПН 4 528
228 ЧТ 4 608
229 ВТ 1 623
230 ПН 2 514
231 ВТ 1 625
232 ВТ 3 514
233 ЧТ 4 515
234 СР 5 628
235 ПТ 3 602
236 ПТ 1 517
237 СР 3 528
238 ПН 2 513
239 ПН 4 622а
240 ПТ 2 509
241 ПТ 4 514
242 ПН 1 623
243 ПН 2 517
244 СР 3 614
245 ПТ 3 625
246 ПТ 2 602
247 СР 1 628
248 ЧТ 2 509
249 ВТ 1 515
250 СР 4 526
251 ПТ 7 632
252 ПН 2 532
253 СР 3 622
254 ПН 3 601
255 СР 6 622а
256 ВТ 2 515
257 ЧТ 4 532
258 ВТ 3 509
259 СР 6 515
260 ВТ 1 532
261 ВТ 1 517
262 ВТ 2 602
263 ЧТ 1 602
264 СБ 1 611
265 ПТ 4 623
266 ПТ 3 513
267 ПН 3 612
268 ПН 1 622
269 ПТ 5 623
270 СР 1 513
271 СР 2 623
272 ПН 5 625
273 ВТ 2 622а
274 ЧТ 1 622а
275 ЧТ 1 612
276 ПН 4 514
277 ПН 2 622
278 ВТ 2 608
279 ВТ 2 601
280 ЧТ 1 608
281 ПТ 4 625
282 ПН 5 605
283 СБ 2 611
284 ПН 3 514
285 ПН 4 515
286 СР 2 515
287 ПН 5 612
288 ПН 4 511
289 СР 2 621
290 ЧТ 3 621
291 ЧТ 4 622
292 ПТ 4 608
293 ЧТ 3 612
294 ВТ 1 622а
295 ВТ 1 601
296 ЧТ 3 622а
297 ЧТ 3 602
298 ВТ 1 602
299 ПТ 5 514
300 ЧТ 5 608
301 ПН 4 621
302 ПН 5 621
303 ПН 2 632
304 ВТ 3 621
305 ВТ 2 605
306 СР 2 632
307 ВТ 4 528
308 ПН 3 532
309 ЧТ 2 632
310 ЧТ 4 632
311 ЧТ 1 632
312 ЧТ 3 608
313 ВТ 1 608
314 ПН 4 622
315 ПТ 3 623
316 ВТ 4 628
317 ВТ 4 526
318 ВТ 2 514
319 ПТ 2 518
320 ЧТ 3 625
321 СР 1 514
322 ЧТ 6 612
323 ЧТ 5 601
324 ЧТ 2 601
325 ЧТ 1 509
326 ЧТ 5 612
327 ПН 6 514
328 ЧТ 2 622
329 СР 7 612
330 СР 4 614
331 ПН 4 612
332 СР 5 614
333 СР 6 612
334 ВТ 2 528
335 ПТ 3 614
336 СР 5 612
337 ЧТ 2 611
338 СР 4 611
339 ПН 2 511
340 ВТ 3 623
341 СР 2 509
342 ПТ 3 608
343 ВТ 4 532
344 ВТ 1 611
345 ПТ 4 612
346 ПТ 2 608
347 СР 3 509
348 ЧТ 2 515
349 ПТ 3 601
350 ПН 4 623
351 ПН 3 511
352 СБ 3 513
353 ВТ 4 621
354 ВТ 3 632
355 ЧТ 1 514
356 ВТ 5 632
357 СБ 2 622
358 ПТ 3 611
359 СБ 3 632
360 ВТ 6 632
361 ЧТ 2 623
362 ЧТ 2 625
363 ЧТ 1 511
364 СР 4 621
365 СР 5 621
366 ВТ 4 611
367 ЧТ 1 628
368 ВТ 6 509
369 ЧТ 1 623
370 ПТ 4 611
371 ВТ 5 509
372 СБ 3 622
373 ЧТ 2 514
374 СБ 4 632
375 ЧТ 2 511
376 ЧТ 1 625
377 ПН 5 514
378 ПН 3 622
379 ВТ 5 511
380 ВТ 2 526
381 СБ 2 511
382 СБ 3 517
383 СБ 3 511
384 СБ 4 517
385 СР 1 532
386 ПН 3 513
387 ЧТ 4 628
388 ПН 4 625
389 ЧТ 5 605
390 ПТ 5 532
391 ВТ 4 632
392 ВТ 3 622а
393 СР 5 517
394 ЧТ 3 628
395 ВТ 3 608
396 ЧТ 2 602
397 ЧТ 2 608
398 ЧТ 2 612
399 ВТ 3 601
400 СР 1 622
401 ВТ 2 511
402 СР 6 517
403 ВТ 3 602
404 ПН 3 621
405 ПН 4 509
406 СР 2 514
407 СБ 3 605
408 ПН 1 608
409 СБ 4 611
410 ВТ 2 625
411 ЧТ 3 514
412 ВТ 5 515
413 СБ 2 605
414 ПН 5 511
415 ВТ 2 628
416 ПН 4 611
417 ЧТ 2 513
418 ЧТ 4 621
419 ЧТ 5 621
420 ПН 4 517
421 ПН 3 517
422 ЧТ 6 601
423 ВТ 2 517
424 ПН 3 614
425 СР 5 625
426 ЧТ 1 611
427 ЧТ 3 611
428 ВТ 4 513
429 ПТ 1 518
430 ВТ 5 514
431 ЧТ 4 605
432 ЧТ 2 628
433 ЧТ 5 518
434 ВТ 3 515
435 ПН 4 526
436 СР 3 517
437 СР 5 608
438 ПТ 2 601
439 ПТ 6 515
440 ПТ 5 628
441 ПТ 3 628
442 ПТ 4 628
443 ВТ 6 518
444 ВТ 5 621
445 СБ 2 608
446 ВТ 3 528
447 СБ 3 608
448 ВТ 2 622
449 ВТ 4 601
450 ЧТ 3 513
451 ЧТ 4 513
452 ВТ 1 622
453 СБ 4 518
454 ПН 2 628
455 ПН 1 621
456 ПН 3 628
457 ПТ 3 514
458 ПН 3 608
459 ПН 4 608
460 ПН 1 632
461 ПН 2 608
462 СР 7 621
463 ВТ 7 621
464 ПН 2 621
465 ПН 3 625
466 СБ 1 621
467 СБ 2 621
468 ПТ 6 528
469 ПТ 7 528
470 ЧТ 6 514
471 ЧТ 7 514
